SDG 2 — Zero Hunger 

BSIT 1074 | Utilizing business analytics for enhanced student engagement: development of a web portal for Pinamucan Integrated School 
BSIT 1076 | Health management system with case monitoring and appointment scheduling in Batangas State University Health Service Office 
BSIT 1077 | BatStateU - The National Engineering University Web-Based Scholarship System 
BSIT 1078 | Empowering Quality Education: An Online Learning Platform of Sta. Clara Elementary School with Integrated Educational Analytics 
BSIT 1079 | Forging connections: a strategic design for network enhancement of lemery senior high school 
BSIT 1086 | Ibaan Central School web portal: leveraging data analytics and database integration for enhanced performance 
BSIT 1090 | Educpanalo: a web-based student portal for king’s kids christian academy 
BSIT 1097 | A web-based real-time grading and monitoring system with analytics for St. Paul School of San Jose, Batangas 
BSIT 1110 | Integrated student portal with online consultation for universal scholastic academe 
BSIT 1112 | Mr. Bin - A smart bin for Bolbok Elementary School 
BSIT 1124 | A web-based student management portal with comprehensive academic descriptive analytics for Golden Gate Colleges 
BSIT 1125 | Web-based information management and online scholarship application system for katipunan ng kabataan in Batangas City 
BSIT 1126 | E-journo-eskwela: a web-based lms platform for campus journalism online training hub 
BSIT 1134 | Sims: AI-powered smart inventory and monitoring system with mobile and web applications for university-wide ICT equipment management 
BSIT 1144 | Design and development of an IoT firewall using Raspberry Pi For Lemery Senior High School 
BSIT 1146 | Real-time POE network based vehicle access control system using image processing and optical character recognition (OCR) for automated plate number detection in Batangas State University - Alangilan Campus 
BSIT 1149 | Data-driven Learning Management System with Integrated Decision Support for Project Arkanghel 
BSIT 1162 | 1st Safety Driving School Portal: A Web-Based System for Streamlined Student Management and Data-Driven Analytics 
BSIT 1194 | Enhancing User Experience with Cyrel Learning Centers Student Portal and Mobile Applications 
BSIT 1197 | An Intelligent Decision Support System for Gender and Development Management and Optimization for Development and Efficiency: Strengthening Planning, Evaluation, and Reporting at Batangas State University-The National Engineering University 
BSIT 1207 | Iot-enabled healthcare kiosk for preliminary check-up using integrated RFID health card for Batangas State University-Alangilan Students 

SDG 5 — Gender Equality 

BSIT 0968 | Online gender and development management system with chatbot integration for municipal social welfare and development in Corcuera, Romblon 
BSIT 1012 | Pride portal: a web-based management system for wagayway equality 
BSIT 1028 | Analytic insights with equalearn: a web system for Batangas state university’s gender and development Office 
BSIT 1147 | GADIMS: gender and development information and management system with analytics of the local government unit of Lipa 
BSIT 1197 | An Intelligent Decision Support System for Gender and Development Management and Optimization for Development and Efficiency: Strengthening Planning, Evaluation, and Reporting at Batangas State University-The National Engineering University 

SDG 6 — Clean Water and Sanitation 

BSIT 0250 | Water level monitoring system 
BSIT 0378 | Water billing system with SMS notification for Boomtown subdivisions 
BSIT 0417 | As-Is Balayong Waterworks and Sanitation Association , Inc. mobile-based meter reading and billing system 
BSIT 0424 | Municipality of San Jose waterworks management system 
BSIT 0461 | Subic Ibaba/Ilaya waterworks billing and payment system
BSIT 0480 | Water usage analysis and inventory management system for Lobo water district
BSIT 0510 | Design of water quality measuring device using Arduino with accuracy testing 
BSIT 0572 | Design and development of water quality monitoring device with SMS notification
BSIT 0595 | San Pascual waterworks accounting management and billing system with SMS notification 
BSIT 0671 | A web-based distribution and monitoring water billing system for gulod itaas waterworks 
BSIT 0720 | IOT based smart watering system and soul moisture monitoring for household plants 
BSIT 0738 | Web-based Tall lake water quality log and monitoring system 
BSIT 0905 | IBARWASA: water billing and inventory management with descriptive analytics 
BSIT 1005 | Design and implementation of water billing system with SMS notification and geographic information system for Ambulong Rural Waterworks and Sanitation Association 
BSIT 1008 | Web Based Water Billing System for Sahingan Water Works Association 
BSIT 1128 | Smart water meter consumption with mobile-based application of Brgy. Dalipit West, Cuenca 
BSIT 1182 | Enhancing Water Refill Service Qualipure Ibaan Through Digital Ordering System 

SDG 7 — Affordable and Clean Energy 

BSIT 1016 | Mobile-Based Smart Room Energy Monitoring and Control 
